window,timestamp,ticker,agg_score,signal
1,2025-08-29 12:19:12+00:00,BKR,-0.2,Short
1,2025-08-29 13:45:00+00:00,BKR,0.15,Long
1,2025-08-29 17:16:00+00:00,BKR,-0.13333333333333333,Short
1,2025-08-30 14:00:18+00:00,BKR,-0.09999999999999998,Neutral
1,2025-09-01 18:00:00+00:00,BKR,0.5,Long
1,2025-08-26 13:14:46+00:00,CDNS,0.8,Long
1,2025-08-27 13:00:00+00:00,CDNS,0.65,Long
1,2025-08-27 15:30:02+00:00,CDNS,0.0,Neutral
1,2025-08-28 11:00:25+00:00,CDNS,0.19999999999999998,Long
1,2025-08-29 20:59:29+00:00,CDNS,-0.2,Short
1,2025-09-01 11:00:12+00:00,CDNS,0.5,Long
1,2025-09-01 15:00:02+00:00,CDNS,0.55,Long
1,2025-08-26 19:51:25+00:00,CDW,-0.5,Short
1,2025-08-29 11:58:59+00:00,CDW,0.6,Long
1,2025-08-26 13:00:04+00:00,CEG,0.5,Long
1,2025-08-26 20:02:30+00:00,CEG,0.65,Long
1,2025-08-27 05:01:48+00:00,CEG,0.7000000000000001,Long
1,2025-08-27 09:42:59+00:00,CEG,0.65,Long
1,2025-08-27 13:00:00+00:00,CEG,0.68,Long
1,2025-08-27 16:35:00+00:00,CEG,0.68,Long
1,2025-08-28 12:49:00+00:00,CEG,0.6,Long
1,2025-08-31 12:00:34+00:00,CEG,0.2,Long
1,2025-08-26 10:15:32+00:00,CHTR,0.5,Long
1,2025-08-26 12:39:37+00:00,CHTR,0.35,Long
1,2025-08-26 20:25:58+00:00,CHTR,0.39999999999999997,Long
1,2025-08-27 04:44:18+00:00,CHTR,0.425,Long
1,2025-08-27 11:00:10+00:00,CHTR,0.09999999999999998,Neutral
1,2025-08-27 16:00:00+00:00,CHTR,0.175,Long
1,2025-08-27 19:39:40+00:00,CHTR,0.0,Neutral
1,2025-08-28 12:44:15+00:00,CHTR,0.10000000000000002,Long
1,2025-08-29 04:19:51+00:00,CHTR,0.65,Long
1,2025-08-31 11:00:18+00:00,CHTR,0.2,Long
1,2025-08-26 13:00:01+00:00,CMCSA,0.5,Long
1,2025-08-26 17:37:02+00:00,CMCSA,0.5,Long
1,2025-08-27 12:30:00+00:00,CMCSA,0.6,Long
1,2025-08-27 16:01:00+00:00,CMCSA,0.6,Long
1,2025-08-27 17:27:08+00:00,CMCSA,0.65,Long
1,2025-08-28 04:47:58+00:00,CMCSA,0.65,Long
1,2025-08-28 10:54:00+00:00,CMCSA,0.62,Long
1,2025-08-28 11:55:34+00:00,CMCSA,0.65,Long
1,2025-08-28 16:06:16+00:00,CMCSA,0.6200000000000001,Long
1,2025-08-28 17:03:00+00:00,CMCSA,0.6000000000000001,Long
1,2025-08-29 04:33:26+00:00,CMCSA,0.5499999999999999,Long
1,2025-08-29 04:36:08+00:00,CMCSA,0.39999999999999997,Long
1,2025-08-29 14:00:00+00:00,CMCSA,0.3,Long
1,2025-08-27 12:00:00+00:00,COST,-0.7,Short
1,2025-08-27 12:30:00+00:00,COST,-0.6499999999999999,Short
1,2025-08-27 14:43:00+00:00,COST,-0.2333333333333333,Short
1,2025-08-27 16:40:00+00:00,COST,0.025000000000000022,Neutral
1,2025-08-27 18:06:35+00:00,COST,0.06000000000000002,Neutral
1,2025-08-28 07:19:00+00:00,COST,0.13333333333333333,Long
1,2025-08-28 10:10:35+00:00,COST,0.18571428571428572,Long
1,2025-08-28 13:30:03+00:00,COST,0.5166666666666667,Long
1,2025-08-29 06:57:43+00:00,COST,0.5,Long
1,2025-08-29 08:44:00+00:00,COST,0.5,Long
1,2025-08-29 12:34:08+00:00,COST,0.525,Long
1,2025-08-29 15:32:00+00:00,COST,0.525,Long
1,2025-08-29 19:05:37+00:00,COST,0.54,Long
1,2025-08-30 07:55:00+00:00,COST,0.54,Long
1,2025-08-30 11:28:06+00:00,COST,0.48,Long
1,2025-08-30 22:37:00+00:00,COST,0.2333333333333333,Long
1,2025-08-31 04:00:59+00:00,COST,0.225,Long
1,2025-08-31 04:27:48+00:00,COST,0.3,Long
1,2025-08-31 08:10:00+00:00,COST,0.32,Long
1,2025-08-31 10:01:00+00:00,COST,0.26666666666666666,Long
1,2025-08-31 13:45:00+00:00,COST,0.2333333333333333,Long
1,2025-09-01 03:00:00+00:00,COST,0.13333333333333333,Long
1,2025-08-26 14:00:28+00:00,CPRT,0.2,Long
1,2025-08-27 20:00:00+00:00,CPRT,0.0,Neutral
1,2025-08-28 13:14:14+00:00,CPRT,0.0,Neutral
1,2025-08-26 21:00:40+00:00,CRWD,-0.6,Short
1,2025-08-27 00:00:00+00:00,CRWD,-0.25,Short
1,2025-08-28 21:04:31+00:00,CRWD,0.8,Long
1,2025-08-29 01:37:00+00:00,CRWD,0.4,Long
1,2025-08-29 04:40:11+00:00,CRWD,0.3333333333333333,Long
1,2025-08-29 08:02:00+00:00,CRWD,0.45,Long
1,2025-08-29 09:22:18+00:00,CRWD,0.4,Long
1,2025-08-29 13:45:21+00:00,CRWD,0.25,Long
1,2025-08-29 14:06:10+00:00,CRWD,0.32857142857142857,Long
1,2025-08-29 15:02:00+00:00,CRWD,0.3625,Long
1,2025-08-29 20:44:24+00:00,CRWD,0.41111111111111115,Long
1,2025-08-29 21:25:41+00:00,CRWD,0.2666666666666667,Long
1,2025-08-30 08:28:00+00:00,CRWD,0.2285714285714286,Long
1,2025-08-30 23:43:55+00:00,CRWD,0.35,Long
1,2025-09-01 12:00:02+00:00,CRWD,0.6,Long
1,2025-09-01 13:00:05+00:00,CRWD,0.4,Long
1,2025-09-01 21:01:31+00:00,CRWD,0.3333333333333333,Long
1,2025-09-02 05:34:38+00:00,CRWD,0.45,Long
1,2025-08-28 04:38:09+00:00,CSCO,0.2,Long
1,2025-08-28 13:40:00+00:00,CSCO,0.4,Long
1,2025-08-28 13:45:12+00:00,CSCO,0.4666666666666666,Long
1,2025-08-28 14:58:00+00:00,CSCO,0.55,Long
1,2025-08-28 15:00:00+00:00,CSCO,0.5599999999999999,Long
1,2025-08-28 15:04:00+00:00,CSCO,0.6,Long
1,2025-08-28 18:58:00+00:00,CSCO,0.6285714285714287,Long
1,2025-08-28 20:15:00+00:00,CSCO,0.65,Long
1,2025-08-29 14:33:00+00:00,CSCO,0.6666666666666666,Long
1,2025-08-29 15:09:00+00:00,CSCO,0.575,Long
1,2025-08-30 12:15:00+00:00,CSCO,0.39999999999999997,Long
1,2025-09-01 05:56:10+00:00,CSCO,0.5,Long
1,2025-09-01 09:02:00+00:00,CSCO,0.55,Long
1,2025-09-01 13:00:04+00:00,CSCO,0.5333333333333333,Long
1,2025-09-01 16:18:00+00:00,CSCO,0.55,Long
1,2025-09-02 05:05:03+00:00,CSCO,0.6,Long
1,2025-08-27 13:00:00+00:00,CSGP,0.8,Long
1,2025-08-26 10:03:00+00:00,CSX,0.5,Long
1,2025-08-26 10:40:00+00:00,CSX,0.0,Neutral
1,2025-08-26 14:35:00+00:00,CSX,0.16666666666666666,Long
1,2025-08-26 19:13:00+00:00,CSX,-0.04999999999999999,Neutral
1,2025-08-26 20:04:56+00:00,CSX,-0.13999999999999999,Short
1,2025-08-26 20:20:00+00:00,CSX,-0.21666666666666665,Short
1,2025-08-26 21:03:00+00:00,CSX,-0.1857142857142857,Short
1,2025-08-26 21:12:53+00:00,CSX,-0.2625,Short
1,2025-08-27 21:50:39+00:00,CSX,0.2,Long
1,2025-08-28 12:00:18+00:00,CSX,-0.19999999999999998,Short
1,2025-08-28 20:20:00+00:00,CSX,-0.06666666666666665,Neutral
1,2025-08-29 20:43:54+00:00,CSX,0.8,Long
1,2025-08-31 13:54:27+00:00,CSX,0.6,Long
1,2025-08-31 13:54:58+00:00,CSX,0.04999999999999999,Neutral
1,2025-08-31 13:55:18+00:00,CSX,-0.13333333333333333,Short
1,2025-08-31 20:19:12+00:00,CSX,-0.225,Short
1,2025-08-27 06:13:55+00:00,CTAS,0.2,Long
1,2025-08-29 04:41:54+00:00,CTAS,0.5,Long
1,2025-08-26 14:30:00+00:00,CTSH,0.5,Long
1,2025-08-27 12:00:00+00:00,CTSH,0.25,Long
1,2025-08-29 04:00:00+00:00,CTSH,0.5,Long
1,2025-08-29 15:30:07+00:00,CTSH,0.15,Long
1,2025-09-01 12:01:00+00:00,CTSH,-0.8,Short
1,2025-08-26 09:00:00+00:00,DASH,0.5,Long
1,2025-08-26 13:22:37+00:00,DASH,0.25,Long
1,2025-08-26 17:22:34+00:00,DASH,0.3666666666666667,Long
1,2025-08-27 04:22:26+00:00,DASH,0.3,Long
1,2025-08-27 13:00:00+00:00,DASH,0.3,Long
1,2025-08-27 15:30:00+00:00,DASH,0.5,Long
1,2025-08-27 17:10:00+00:00,DASH,0.52,Long
1,2025-08-28 04:33:47+00:00,DASH,0.675,Long
1,2025-08-28 07:06:00+00:00,DASH,0.64,Long
1,2025-08-28 09:01:43+00:00,DASH,0.6166666666666667,Long
1,2025-08-28 13:15:00+00:00,DASH,0.6166666666666667,Long
1,2025-08-28 15:17:00+00:00,DASH,0.5571428571428572,Long
1,2025-08-28 16:37:39+00:00,DASH,0.5142857142857142,Long
1,2025-08-28 17:41:31+00:00,DASH,0.5,Long
1,2025-08-29 09:23:40+00:00,DASH,0.38,Long
1,2025-08-29 17:37:54+00:00,DASH,0.43333333333333335,Long
